RANK,COMPANY NAME,GROWTH,EMPLOYEES,STATE, REVENUE ,FOUNDED,INDUSTRY
3278,Mortgage Capital Trading,119,95,CA,18.3 MM,,Business Products & Services
4497,Westminster American Insurance Company,73,18,MD,26.1 MM,1869,Insurance
2597,CXtec,164,400,NY,196.7 MM,1878,Computer Hardware
4204,ARMADA,81,468,PA,2950.8 MM,1890,Logistics & Transportation
4183,Willet Hauser Architectural Glass & Associated Crafts,82,65,MN,10.0 MM,1898,Construction
2773,Nix Companies,149,39,IN,6.6 MM,1902,Manufacturing
2433,EDWARD MARC BRANDS,178,150,PA,36.8 MM,1914,Food & Beverage
2240,Host,197,456,VA,96.7 MM,1923,Logistics & Transportation
4405,Young Automotive Group,75,784,UT,677.5 MM,1925,Retail
3993,Fire Equipment,89,115,MA,17.8 MM,1928,Construction
4630,Procida Construction,68,89,NY,130.8 MM,1928,Construction
3985,Arnold's Office Furniture,89,32,PA,13.1 MM,1929,Business Products & Services
4479,Capitol Pest,73,30,MD,2.9 MM,1936,Environmental Services
2410,Traube Tents & Structures,180,24,IL,8.9 MM,1938,Construction
1786,Goettl Air Conditioning,253,259,NV,50.9 MM,1939,Consumer Products & Services
4741,Barrett Distribution Centers,65,451,MA,85.7 MM,1941,Logistics & Transportation
4965,Lee Company,58,1200,TN,216.4 MM,1944,Construction
1072,Raymer Oil Company,461,150,NC,99.5 MM,1945,Retail
2999,Guardian Services,135,44,TX,3.1 MM,1945,Business Products & Services
4264,FSB,79,170,OK,32.7 MM,1945,Engineering
4778,Ellison Bakery,64,0,IN,29.9 MM,1945,Food & Beverage
3375,Rice Insurance,114,110,WA,12.6 MM,1946,Insurance
4061,Blount Fine Foods,86,628,MA,338.3 MM,1946,Food & Beverage
2112,John Beal Roofing,210,85,MO,24.2 MM,1947,Construction
2804,Campus Ink,147,35,IL,2.1 MM,1947,Manufacturing
2902,Grand Power Systems,141,0,MI,29.5 MM,1948,Energy
4791,FieldEdge,64,120,FL,12.5 MM,1948,Software
3572,Imacuclean,105,375,NY,9.6 MM,1949,Business Products & Services
4571,Halco Testing Services,71,13,CA,2.0 MM,1949,Construction
4999,Weld Power Generator,57,38,MA,6.6 MM,1951,Energy
3534,Tidewater Fleet Supply,107,200,VA,60.1 MM,1953,Logistics & Transportation
4389,Annapolis Yacht Sales,75,44,MD,45.2 MM,1953,Consumer Products & Services
4644,Timmons Group,68,512,VA,76.6 MM,1953,Engineering
3022,Des Plaines Office Equipment,133,120,IL,28.0 MM,1955,IT Management
4257,Dusobox,79,83,FL,23.2 MM,1955,Manufacturing
4537,The Predictive Index,72,90,MA,25.6 MM,1955,Business Products & Services
4550,OAC Services,71,80,WA,21.2 MM,1955,Construction
3270,Schaal Heating & Cooling,120,37,IA,8.8 MM,1956,Construction
3337,McClure Engineering Company,117,128,IA,16.8 MM,1956,Engineering
3687,Black-Haak Heating,100,43,WI,6.4 MM,1956,Construction
3757,Jersey Mike's Subs,97,19000,NJ,974.8 MM,1956,Food & Beverage
2097,Clark Bros.,212,125,CA,44.1 MM,1958,Construction
3212,Western Window Systems,122,313,AZ,100.2 MM,1959,Manufacturing
3654,Go-Forth Pest Control,101,58,NC,5.6 MM,1959,Environmental Services
4743,SCST,65,146,CA,22.8 MM,1959,Engineering
4822,CART MART,63,97,CA,16.0 MM,1959,Retail
3817,NASSAU NATIONAL CABLE,95,5,NY,8.8 MM,1960,Business Products & Services
2928,Any Hour,139,204,UT,36.1 MM,1961,Consumer Products & Services
3466,City Wide Maintenance of Kansas,109,35,KS,9.6 MM,1961,Business Products & Services
3612,Balani Custom Clothiers,103,35,IL,9.0 MM,1961,Retail
4956,Uckele Health & Nutrition,59,165,MI,36.6 MM,1962,Manufacturing
4434,Americollect,74,259,WI,25.2 MM,1964,Health
1318,Allied Universal,363,150000,CA,5301.5 MM,1965,Security
3323,Affiliated Communications dba Alert Communications,117,268,CA,13.7 MM,1965,Business Products & Services
3544,DW Smith Associates,106,80,NJ,10.6 MM,1965,Engineering
3677,Berry Law Firm,101,54,NE,5.5 MM,1965,Financial Services
4504,Eanes Heating and Air,73,62,NC,9.8 MM,1968,Construction
2233,SignResource,197,481,CA,95.2 MM,1969,Manufacturing
3181,Curriculum Associates,124,764,MA,187.0 MM,1969,Education
3548,N & L Investment,106,87,AZ,11.1 MM,1969,Construction
3855,Buckfire & Buckfire,93,22,MI,6.1 MM,1969,Consumer Products & Services
4770,Kidder Mathews,64,700,WA,160.6 MM,1969,Real Estate
1662,PCI Group,277,287,SC,47.5 MM,1970,Business Products & Services
2228,Union Home Mortgage,198,839,OH,126.4 MM,1970,Real Estate
2861,Stratix Systems,144,130,PA,29.5 MM,1970,IT Management
4478,Frank Surveying Co,73,52,TX,8.8 MM,1970,Engineering
4904,MacDonald & Owen Lumber Co.,60,137,WI,78.7 MM,1970,Manufacturing
2448,Nothum,176,108,MO,27.4 MM,1971,Manufacturing
4727,Rampmaster,66,43,PA,21.5 MM,1971,Manufacturing
3449,El Dorado Glass,110,19,AR,4.0 MM,1972,Construction
3998,Ware Malcomb,88,414,CA,90.3 MM,1972,Construction
4380,WGI,76,372,FL,58.7 MM,1972,Engineering
4460,W. L. French Excavating,74,175,MA,84.9 MM,1972,Construction
1908,Helping Hand Home Health Care,235,47,MI,3.1 MM,1973,Health
3675,SK USA,101,99,LA,44.6 MM,1973,Food & Beverage
3680,ISG,100,261,MN,42.6 MM,1973,Engineering
3745,CME Associates,98,72,CT,16.9 MM,1973,Engineering
4127,Karins and Associates,84,49,DE,6.4 MM,1973,Engineering
4357,O'Connor,76,486,TX,29.6 MM,1974,Business Products & Services
4912,Sala Family Dentistry,60,61,NV,8.0 MM,1974,Health
2321,Laketown Electric,188,65,MN,14.1 MM,1975,Construction
2829,Salas O'Brien,146,304,CA,59.7 MM,1975,Engineering
3592,GYK Antler,104,70,NH,20.0 MM,1975,Advertising & Marketing
4543,Pacific Union International,71,212,CA,275.5 MM,1975,Real Estate
4855,Sterling Talent Solutions,62,4087,NY,481.0 MM,1975,Business Products & Services
1056,Matrix 4,466,59,IL,6.8 MM,1976,Manufacturing
1891,ThreatConnect,237,123,VA,20.1 MM,1976,Security
2022,Intermountain Audiology,221,23,UT,4.5 MM,1976,Health
2464,DESCCO Design & Construction,175,26,PA,9.2 MM,1976,Construction
3470,Delta Information Systems,109,94,PA,33.7 MM,1976,Manufacturing
3518,Lifescape Colorado,107,108,CO,12.6 MM,1976,Construction
4017,Horizon Roofing,88,80,MN,19.1 MM,1976,Construction
4637,john greene Realtor,68,15,IL,15.2 MM,1976,Real Estate
872,Country Archer Jerky Co.,576,100,CA,21.1 MM,1977,Food & Beverage
2654,Chrysan Industries,159,27,MI,40.1 MM,1977,Manufacturing
3960,Cohen & Company,90,564,OH,68.3 MM,1977,Financial Services
4515,Shepherd Insurance,72,215,IN,34.0 MM,1977,Insurance
1858,Weisser Distributing,242,101,SD,49.9 MM,1978,Business Products & Services
2852,Benton Roofing,144,35,NC,19.9 MM,1978,Construction
3971,NEWPRO operating,89,125,MA,23.3 MM,1978,Consumer Products & Services
4055,Service Professor,86,44,MI,6.7 MM,1978,Consumer Products & Services
4057,Cross Country Home Services,86,782,FL,362.0 MM,1978,Insurance
4533,M S Benbow & Associates Professional Engineering,72,104,LA,20.6 MM,1978,Engineering
4567,Carla's Pasta,71,239,CT,116.5 MM,1978,Food & Beverage
1953,"MillTown Plumbing, Heating, AC, and Drain Cleaning",229,46,MA,7.3 MM,1979,Construction
2202,Coast Medical Service,201,12,CA,8.1 MM,1979,Health
2911,MidAtlantic Contracting,140,5,VA,6.6 MM,1979,Construction
3238,Intercare Therapy,122,500,CA,20.0 MM,1979,Health
4388,Assessment Systems,75,23,MN,3.1 MM,1979,Education
4592,Heartwood Tree Service,70,51,NC,5.6 MM,1979,Consumer Products & Services
4828,Corp2000,62,13,CA,4.0 MM,1979,Business Products & Services
4872,Berkshire Hathaway HomeServices Nevada Properties,61,113,NV,135.3 MM,1979,Real Estate
4977,Citrin Cooperman,58,898,NY,238.7 MM,1979,Financial Services
2605,"Strittmatter Air Conditioning, Heating & Plumbing",163,26,TX,5.5 MM,1980,Construction
3359,Mabbett & Associates,115,52,MA,11.4 MM,1980,Environmental Services
3601,Arizona Fireplaces,104,135,AZ,29.7 MM,1980,Consumer Products & Services
3734,PEAK Elevator,98,48,CO,8.6 MM,1980,Construction
4325,Balius Surfaces,77,11,MS,3.6 MM,1980,Construction
4701,Rentex Audio Visual & Computer Rentals,66,241,MA,44.3 MM,1980,Computer Hardware
4805,Bowers + Kubota Consulting,63,185,HI,48.5 MM,1980,Engineering
731,British Swim School,683,10,FL,4.1 MM,1981,Education
1738,Lee's Air Conditioning Heating and Building Performance,261,52,CA,12.2 MM,1981,Consumer Products & Services
1752,Decision Sciences Research Associates,259,110,CA,8.5 MM,1981,Advertising & Marketing
2194,Equip Studio,201,18,SC,2.2 MM,1981,Construction
2696,ISN,155,344,MD,37.7 MM,1981,Government Services
3182,MIKE'S METAL WORKS,124,32,CA,5.4 MM,1981,Construction
4358,Parkway C&A,76,200,TX,295.7 MM,1981,Construction
4676,SofterWare,67,213,PA,64.2 MM,1981,Software
4905,The Partners Group,60,144,OR,34.7 MM,1981,Insurance
4910,Kencor,60,93,PA,17.8 MM,1981,Construction
1963,iDealFurniture/KozyFurniture,228,1,NV,2.3 MM,1982,Retail
2175,MFI Medical Equipment,204,40,CA,10.0 MM,1982,Health
3071,Redcom Design & Construction,130,63,NJ,72.8 MM,1982,Construction
3228,Kidd Roofing,122,100,TX,38.8 MM,1982,Construction
3401,MDSL,113,390,AZ,49.0 MM,1982,Software
3472,LVC Companies,109,209,MN,41.5 MM,1982,Construction
3526,ebs Associates,107,42,OR,3.5 MM,1982,Financial Services
3815,Microway,95,17,MA,24.8 MM,1982,IT System Development
3939,Call Experts,90,175,SC,8.4 MM,1982,Telecommunications
3940,Bayless Integrated Healthcare,90,110,AZ,10.7 MM,1982,Health
4123,P.J. Wallbank Springs,84,130,MI,24.8 MM,1982,Manufacturing
4258,American Family Care,79,1452,AL,534.5 MM,1982,Health
4464,Comport Consulting,74,53,NJ,53.8 MM,1982,Computer Hardware
4483,CGP maintnenace,73,41,CA,6.0 MM,1982,Construction
4813,"Tom Drexler Plumbing, Air & Electric",63,150,KY,19.7 MM,1982,Construction
709,AbacusNext,701,478,CA,77.5 MM,1983,IT System Development
2113,SSi,210,131,GA,13.3 MM,1983,Government Services
2868,Lightfoot Mechanical,144,55,TX,8.4 MM,1983,Consumer Products & Services
2951,Landscape Development,138,811,CA,78.6 MM,1983,Construction
3246,San Francisco Art Exchange,121,10,CA,4.2 MM,1983,Retail
3580,Carson Group,105,128,NE,71.3 MM,1983,Financial Services
4031,Starlite Productions,87,54,NJ,13.6 MM,1983,Business Products & Services
4614,CM Heating,69,32,WA,6.1 MM,1983,Consumer Products & Services
4616,Fluid-Aire Dynamics,69,32,IL,9.5 MM,1983,Manufacturing
4898,PreCheck,60,275,TX,35.5 MM,1983,Health
4913,Modera Wealth Management,60,58,NJ,17.6 MM,1983,Financial Services
